argument,score
"Cosmetic surgery is a decision, and physical autonomy is paramount.",0.79210617
Plastic surgery is a decision and it's still someone's right to make it,0.99082342
"Cosmetic surgery is a choice between doctor and patient, and no laws should be passed that violate this decision.",0.895255216
"Cosmetic surgery is a crutch for people who don't like themselves, but by changing something from the outside, they can change something from the inside, I think that's harmful.",0.81600366
Cosmetic surgery is a dangerous procedure and no minor should go through it just because of their appearance.,0.836457504
Cosmetic surgery is a dangerous procedure and should only be available for medical circumstances to repair injuries,0.878237163
"Cosmetic surgery is a decision that a doctor and a patient make, and we should not interfere with their decision.",0.926344023
"Plastic surgery is a form of self-expression, and it is unfair to prevent a consenting person from participating.",0.561363667
Cosmetic surgery is a frivolous waste of resources and should be banned. It takes away medical time from those in need. Cosmetic surgery promotes vanity and self-absorption.,0.999900752
"Plastic surgery is a fundamental right of a person to be able to do what they want with their own body, and the government should not be able to interfere with that right.",0.958916627
Cosmetic surgery is a great option for people who have an accident or a birth defect.,0.736683596
"Cosmetic surgery is harmful, invasive and unnecessary, and will be considered a barbaric practice in the future, just as we look back on Victorian medicine.",0.917771525
"Cosmetic surgery is a legitimate business, and the government should have no role in deciding who can buy it.",0.8649778
"Cosmetic surgery is an option for those who have money, and in a democratic society it should be an option of freedom.",0.000182633
Cosmetic surgery is a permanent change that should not be considered for minors who are still growing and developing.,0.939950889
"Plastic surgery is a personal decision, and banning it further deprives us of our freedom.",0.877999292
Cosmetic surgery is a personal decision that people should be allowed to make,0.828129239
Cosmetic surgery is a personal decision that should not be interfered with.,0.779450783
Cosmetic surgery is a personal option in a safe environment with minimal risk,0.796792087
Cosmetic surgery is a man's decision for his own body.,0.939840387
Cosmetic surgery is a relatively safe procedure that should be an individual decision.,0.534106267
Cosmetic surgery is a waste of medical staff and resources.,0.755210003
Cosmetic surgery is a waste of money and only serves to give patients an impossible standard that they believe they must meet.,0.956392438
Cosmetic surgery is a way for doctors to get money for unnecessary treatments and therefore unethical.,0.392649455
Cosmetic surgery is a way to improve a physical trait and can improve a person's self-esteem and mental health.,0.9234059
Cosmetic surgery is a way to mask a potentially deeper psychological problem,0.327031695
Plastic surgery is addictive and causes some people to turn their otherwise healthy bodies into pathological silicone wrecks.,0.364409695
"Cosmetic surgery is an individual decision, and this should not be taken away from the person. Even cosmetic surgery can be beneficial for a person's mental health if low body confidence is an aspect.",0.992207647
Plastic surgery is optional for everyone and makes people happy and satisfying in their lives.,0.027789226
Plastic surgery is unnecessary and potentially very dangerous for minors,0.961663238
Cosmetic surgery is an unnecessary health risk,0.931295199
Plastic surgery is an unnecessary risk that can lead to future medical problems,0.863167983
Cosmetic surgery is beneficial for many people who would otherwise live a sad life in seclusion,0.22864168
"Cosmetic surgery is beneficial for minors who have had traumatic experiences, such as burns and corrective surgery.",0.930585215
"Cosmetic surgery is useful for those who need facial reconstruction after an injury, an accident or an attack.",0.959286578
"Cosmetic surgery is expensive and if it is not performed correctly, it can cause physical harm to the patient.",0.222486204
Plastic surgery is dangerous and addictive,0.028281884
Plastic surgery is dangerous and addictive,0.838285201
Plastic surgery is dangerous and has killed people in the past.,0.708926077
Plastic surgery is dangerous and kills people every year.,0.668102914
Plastic surgery is dangerous and young children are not old enough to decide if they are worth the risk.,0.968460351
Plastic surgery is dangerous and only out of vanity there.,0.622516305
Plastic surgery is dangerous and should be banned.,0.685842411
Plastic surgery is dangerous and should definitely be banned.,0.694104795
"Plastic surgery is dangerous and in most cases is bad for the patient. As a result, the patient is in worse shape than before the operation.",0.571061073
"Plastic surgery is dangerous and unnecessary, and many providers are unethical.",0.998799344
"Plastic surgery is dangerous for all ages, but especially for minors, so it should be banned for their age.",0.996349538
"Plastic surgery is dangerous from the start, so why would people take such a risky step out of vanity?",0.503829432
"Plastic surgery is dangerous, too expensive and causes a lot of damage to the body and mind of the patient.",0.188488878
"Cosmetic surgery is crucial for children born with a deformity such as a cleft lip, as it helps them live a normal life.",0.893684327
"Cosmetic surgery is expensive, a waste of resources and offers people, especially young women, an impossible standard to live up to.",0.993053516
Cosmetic surgery is expensive and can give people a false sense of what is beautiful.,0.571249114
Cosmetic surgery is full of scams that do nothing for the patient except debit their bank account.,0.191189767
"Cosmetic surgery is harmless, banning a legitimate industry is a government transgression.",0.996782318
Cosmetic surgery is helpful for those who have been disfigured by injuries to regain their confidence by removing scars and improving the appearance of their damaged skin.,0.773906668
Cosmetic surgery is important for the health of people who were born with a cleft palate.,0.915970847
Cosmetic surgery is important for the physical as well as mental well-being of people who were born deformed or involved in a body-damaging accident.,0.817740543
Cosmetic surgery is important to repair damaged skin or those involved in accidents and help them regain confidence and live their lives to the full.,0.890743952
Plastic surgery is inherently deceptive when presented with a false version of yourself.,0.595948831
"Cosmetic surgery is known to be risky and harmful for everyone in the long term, especially for those undergoing a range of treatments.",0.235037566
Cosmetic surgery is more harmful than helpful,0.177705238
"Cosmetic surgery is almost permanent, and smaller surgeons cannot contextualize these changes because of their short life experience and are therefore not mature enough to make a life-changing decision about their physical appearance.",0.999647446
Cosmetic surgery is required for reconstructive surgery and a necessary part of the process.,0.738291878
Plastic surgery distorts the mind of our youth into unrealistic expectations,0.942466124
Cosmetic surgery is not against the law,0.002976878
Plastic surgery is not illegal or unconstitutional,0.291591303
Plastic surgery is not necessary and can cause great harm to the person if it is not performed correctly.,0.681540011
Plastic surgery is unnecessary and futile.,0.013568916
Cosmetic surgery is not sufficiently regulated to continue and it can harm more people than help.,0.602536002
"Cosmetic surgery is not something a person needs, and it carries risks",0.522104501
"Cosmetic surgery is often misused for selfish, unreasonable motives",0.587292371
Plastic surgery is often performed to treat someone who has a false perception of their appearance,0.001878726
Plastic surgery is often the last hope for people to change what they don't like about themselves.,0.99898262
"Cosmetic surgery is often used as a bandage over deeper personal problems such as depression or anxiety, preventing people from addressing the underlying problem.",0.997616796
Cosmetic surgery is often very expensive and not covered by health insurance.,0.00415403
Cosmetic surgery is only for the affluent and makes poor people feel worse about themselves.,0.440254279
Plastic surgery is pointless and deprives the doctor of other important areas such as home care.,0.596465903
Plastic surgery is risky insofar as it can have negative effects.,0.661444007
"Plastic surgery is risky, especially if it is done out of vanity.",0.723133723
"Plastic surgery is risky, expensive and creates a society based on superficial appearance.",0.474838619
Cosmetic surgery ruins the confidence of young girls and makes them feel that they are not good enough without it.,0.796333869
Cosmetic surgery is safe and can help people.,0.908997002
"Cosmetic surgery should not be allowed to minors because they are unable to think through the consequences of their body growing and changing so that surgery could do more harm than good,",0.005376529
"Plastic surgery is something that lasts a lifetime, which is why minors, whose brains are not yet mature, do not have the ability to make such a decision for themselves.",0.800670933
Cosmetic surgery is sometimes medically necessary and should remain legal for all,0.953069804
Plastic surgery takes unnecessary risks.,0.778477656
Cosmetic surgery is too much choice for children.,0.045748893
Plastic surgery is too dangerous and people should be the way they are,0.653342768
Plastic surgery is too dangerous for an unnecessary procedure that minors are not yet mature enough to understand,0.999749035
"Plastic surgery is too risky, and people have been killed in surgeries.",0.959794091
"Plastic surgery is too risky and unnecessary; it is not necessary to improve a health outcome, making it too risky for something completely unnecessary.",0.643790983
Plastic surgery is too risky for children,0.019533629
Plastic surgery is unnecessary and creates an impossible body image that children try to feel bad about when they can't achieve it naturally.,0.873978627
Plastic surgery is unnecessary and dangerous and should be banned.,0.064574527
Plastic surgery is unnecessary and dangerous.,0.044033185
Plastic surgery is unnecessary and does not bring any health benefits,0.869033593
"Plastic surgery is unnecessary and exacerbates class division, as it is accessible only to the wealthiest.",0.09034464
Cosmetic surgery is unnecessary and invasive serious surgery that does not yield any medical benefit.,0.978404457
Cosmetic surgery is unnecessary and women should not feel obliged to change their appearance.,0.699601643
"Plastic surgery is unnecessary, except for medical purposes",0.059549266
"Plastic surgery is unnecessary for minors, we should encourage them to be satisfied with their appearance and to love themselves.",0.755017804
Cosmetic surgery is usually a decision between the doctor and his patient; why should we interfere in this decision?,0.116546841
Plastic surgery is very bad for everyone and can be fatal.,0.005730984
Cosmetic surgery is vital for people like burn victims to heal and feel more normal.,0.960011278
"Cosmetic surgery is such a disfigurement in certain situations, it is very lucrative and discourages some from practicing it illegally, where the risk of infection is much greater.",0.936031688
Cosmetic surgery is medically unnecessary,0.360372451
plastic surgery it is a personal decision and no one has the right to deny them that,0.906360016
"Cosmetic surgery merely increases the incidence of body dysmorphic disease and deprives the poor of access to such treatment, which is why it should be banned.",0.930012202
Cosmetic surgery causes some people to be disfigured when they are operated on by an unskilled surgeon.,0.871341196
Cosmetic surgery makes many young people hate their bodies,0.609933579
Cosmetic surgery makes people feel better about themselves.,0.933518083
Cosmetic surgery makes people feel self-conscious and provides false images of natural beauty,0.591656028
Cosmetic surgery can boost self-confidence and should not be banned.,0.809222951
Plastic surgery can cause unforeseen complications,0.932710111
Cosmetic surgery can be useful for those who feel that one aspect of their body is causing them severe psychological trauma.,0.615856913
Plastic surgery could be the only hope for children born with a disfigurement that would have a serious impact on self-esteem and lead to psychological problems and childhood trauma.,0.667698904
Cosmetic surgery often has negative health effects.,0.886817082
Plastic surgery often goes wrong or does not produce the desired result and therefore requires further surgery.,0.940595478
"Not only are cosmetic surgery on minors dangerous, but it could lead to great regret later in life if you are too young to understand the effects.",0.7945419
Plastic surgery only changes the appearance of a person and does not address the emotional problem that makes someone feel perfect as they are.,0.755074425
Cosmetic surgery serves only to reinforce social stereotypes about what beauty is. Minors should not get it until they are old enough to recognize the social pressures behind it.,0.973249925
Cosmetic surgery serves only to maintain Eurocentric standards of beauty and to make it more difficult to question them.,0.621476503
Cosmetic surgery only supports the idea that people need to look a certain way to be accepted.,0.199680673
"Cosmetic surgery opens the door to unhealthy perfectionism when one's appearance is just one procedure that could lead to many, many more.",0.461328726
Cosmetic surgery should be accessible to anyone who has a disfigurement,0.843386111
Cosmetic surgery should be provided for anyone who has a medical need,0.399802122
Cosmetic surgery perpetuates a quick solution to underlying problem that should be better treated,3.13e-05
Plastic surgery poses too many dangers to children,0.78773826
Cosmetic surgery poses a major health risk.,0.848991822
"Cosmetic surgery promotes a capitalist society that focuses on solving problems with money, not on personal acceptance.",0.614461863
Cosmetic surgery promotes a superficial society that cares more about appearance than personality.,0.993550282
Cosmetic surgery promotes the idea that physical beauty and a perfect image are of paramount importance.,0.042196609
"Cosmetic surgery promotes the sexualisation of minors by frequently using it to make them look more mature (by widening the hips, breast augmentation, etc.).",0.999120244
Cosmetic surgery promotes unhealthy body image,0.983840714
"Cosmetic surgery promotes unrealistic body image and dangerous procedures, so it should be banned.",0.750550171
Cosmetic surgery is a helpful option for people who suffer from many physical and mental problems.,0.999670943
Cosmetic surgery is an important resource for people who have been involved in an accident and help them to resume a normal life.,0.958916627
Cosmetic surgery offers an opportunity for physically disfigured people to return to a more normal lifestyle.,0.999738246
Cosmetic surgery reinforces the stereotype of the Western ideal of beauty and widens the gap between those who have the money to fit into this image and those who do not.,0.051378064
"Cosmetic surgery increases the standard of beauty, which is even more problematic for children.",0.949463921
Plastic surgery ruins the natural beauty they have,0.001878421
"Plastic surgery serves no other medical purpose than superficial ones, but carries the same risk as any surgery.",0.611617835
"Cosmetic surgery should be a decision of the minor parents, the doctor and the minor children, and not something else that is regulated by the government.",0.52997262
Plastic surgery should be allowed for a long time until the person who performs it pays for it himself,0.230652345
Plastic surgery should be allowed to children who have deformities and need the surgery.,0.884933273
Cosmetic surgery should be allowed for minors because they may need surgery due to an accident or malformation that can be corrected before they are old enough to suffer from it.,0.755244278
Cosmetic surgery should be allowed in a system of free enterprise in which people can act of their own free will in making this decision.,0.984734907
Cosmetic surgery should be banned because it fosters the belief that people should look like this in order to be accepted.,0.980778484
Cosmetic surgery should be banned as more people are under pressure to look younger or more beautiful and not all cosmetic surgery is safe.,0.930566517
"Cosmetic surgery should be banned, some operations can be dangerous and have negative side effects that women have to live with for the rest of their lives.",0.672390999
"Cosmetic surgery should be banned because many people these days get it all the time, which can eventually lead to a mental disorder.",0.489562832
Plastic surgery should be banned because it is really not a necessary operation.,0.036952965
Plastic surgery should be banned because it is unnatural.,0.007509958
"Cosmetic surgery should be banned because it leads to a downward spiral in people with body dysmorphic disorders, sometimes even causing them completely.",0.773796894
Plastic surgery should be banned because the risk associated with both the operation and the longer-term risk is not worth the gain.,0.912477175
Cosmetic surgery should be banned for minors because their bodies are still growing and changing.,0.983412345
"Cosmetic surgery should be banned for minors because their body is not even ready to develop, so anything that is done to fix the problem with appearance can by nature be undone anyway.",0.808301078
"Cosmetic surgery should be banned if minors are operated on for the wrong reason, for example because of peer pressure.",0.976012
Cosmetic surgery should be banned for those who cannot agree to have it performed themselves.,0.175370831
"Plastic surgery should be forbidden. God made you in a certain way, and this procedure runs counter to that. Besides, it could be dangerous if a Joan River dies of complications during the operation.",0.005729809
Plastic surgery should be legal and everyone should be allowed to do something to their body as long as they are informed and aware of the risk.,0.79210617
"Cosmetic surgery should not be banned, because it is a person's prerogative to do what they do to their body, and if it boosts their self-esteem, it is for good, not ill.",0.866067103
Cosmetic surgery should not be banned because it helps people recover from traumatic injuries resulting from an accident or illness.,0.931943154
Cosmetic surgery should not be banned because it helps restore the confidence of people who have suffered disfigurement.,0.917817272
"Cosmetic surgery should not be banned because it is harmless and can boost people's self-esteem, and many people who are burnt or injured can be operated on to heal their terrible scar.",0.827225499
Cosmetic surgery should not be banned for children because they can be born with a disfigurement that could hinder their development or be bullied so that a child could still need it to help them.,0.951109055
"Cosmetic surgery should not be banned, it is the individual's decision",0.00445158
Cosmetic surgery should not be banned because there are many cases and times when someone has an accident and actually needs it to repair their appearance.,0.879844831
"Cosmetic surgery simply forces an ideal model for children to feel that they must follow in order to be accepted in the world, and should be banned.",0.918053507
"Cosmetic surgery sometimes causes more harm than good, and some people can become addicted to it.",0.615797618
Cosmetic surgery supports the idea that young people are not good enough and that they need invasive surgery to look good enough for society.,0.941402147
Plastic surgery teaches our daughter that she must look perfect and never age.,0.080070966
Cosmetic surgery that has not yet been fully researched should be banned.,0.08047735
"Aesthetic surgery, when applied ethically, can provide a helpful way for people with physical or mental problems to overcome their problem.",0.902551071
Plastic surgery only leads to more and more people being operated on in order to reach an impossible standard.,0.500577544
Cosmetic surgery will only increase the Eurocentric standard of beauty for people who are potentially too young to understand this implication.,0.000906889
"Cosmetic surgery, like any other surgery, can have potentially fatal complications.",0.918513791
"Apart from disfigurement, plastic surgery should be banned; society puts too much pressure on people to look perfect.",0.707091213
could in turn put pressure on the economy by increasing a tax that could worsen the economic currency,8.46e-06
"could not regulate this, because if it is the passion of the child, then I could put it into practice, if a child gains more experience.",0.00109169
could open up Congress and create new opportunities for negotiations and coalition building along unusual lines.,0.734606713
Consultants would probably be a similar option that would work.,1.03e-06
Countless studies have found that homeopathy is no better than a placebo.,0.852326722
"Countries are unlikely to listen to proponents of nuclear weapons, rendering this kind of advocacy useless.",9.99e-05
Economic sanctions are a non-violent way of punishing an insulting country without the horrors of war and of bringing about change.,0.336379318
The country should not have to offer anything to other countries if they do not feel comfortable doing so.,0.000439612
A country that abolishes nuclear weapons leaves itself defenceless against a country that refuses to do so.,0.945812665
"A country that, like China, began sex selection now has a problem with two much older men and not enough women to marry them and have more children for the next generation.",0.254932165
"A country where people do not routinely hold guns has a much lower murder rate and is much safer than the US, where there is a constitutional right to keep and bear arms.",0.983441308
Countries with nuclear weapons are better able to defend themselves than countries without nuclear weapons.,0.621330989
"Couples have the right to explore the possibility of starting a family, and if a third party is willing and able to consent to surrogacy, this should be an option.",0.975355916
"Couples should be able to choose the sex of their child, as some may only want boys or girls, or they may already have more than one child of one sex and want the opposite sex next time.",0.124924557
Couples who cannot have a child of their own are able to love and care for a child,0.209767639
Couples who marry tend to stay together longer than couples who don't.,0.961616258
Courts are the way average people have access to justice Judges have the power to correct wrongs.,0.008970078
Creating a situation that traps a person in a criminal act should always be illegal; manipulating a person to do something wrong is not a valid form of law enforcement.,0.000130547
The creation of a nuclear industry also contributes to the creation of nuclear power plants that reduce pollution and improve access to cheap energy.,0.93715424
The creation of intellectual property is a form of work and it is unfair to allow others to steal and profit from the work of others.,0.960906695
"The creation of a densely populated region does not benefit the majority, but only the administration of the area.",0.106457515
The creation of such a secluded environment for this detention centre has encouraged and legitimised the unlawful and immoral behaviour of the soldier responsible for the detainee.,0.999970233
Creative property is only an important physical work and should be protected,0.788191845
creative work is only an important physical work and the author should be compensated,0.837578971
Creators have the right to profit from their idea.,0.431632956
Creators need intellectual property rights so that they can be paid for what they create.,0.96521113
"The crime rate in a state with the death penalty is no different from the crime rate in a state without the death penalty, which proves that it is an ineffective deterrent.",0.99976963
Crime rates rise when there is no fear of the death penalty.,0.999508043
"crime, extreme treason has such a far-reaching effect that it is justified to kill the perpetrator so that he can never profit from his crime.",0.485571556
"Crimes punishable by death are rarely committed deliberately, which means that the death penalty has no deterrent effect.",0.719321224
"Offenders are judged proportionately to the crime they have committed, and if the crime is too serious and involves killing a person, it is the same sentence.",0.000774191
"Criminalisation does not help people to get out of prostitution; on the contrary, it makes the lives of those trapped in it more difficult and commits physical and sexual violence against them.",0.670956266
"Criminals will commit the crime one way or the other; by allowing law enforcement to use traps, they simply catch them earlier and keep many more people safe.",0.914816313
Criminals often spend many years on death row and suffer in expectation of their death. This makes the death penalty more difficult than just taking the life of the criminal.,0.473697465
"Criminals can pretend to be in trouble hiding in a safe space, hurting people looking for a place to escape danger.",0.00676762
Criminals deserve to suffer on the same level as what they have called pain.,0.018990197
Criminals should be caught and not further harm society.,0.811237963
Criminals should be caught by all means,0.287710895
Criminals who have committed terrible crimes should no longer be a burden on society.,0.914206448
Cultural and historical norms associated with weddings are outdated and have become an agonizing ordeal,0.634579027
"Current gun laws are outdated and do not serve the public. Countries with stricter gun laws, which lack the right to own and possess guns, have fewer homicides and suicides.",0.888748233
The current nuclear treaty makes the damage caused by the possession of nuclear weapons incredibly small and easily manageable.,0.089142329
Current Supreme Court precedent in a case such as Texas v. Johnson for the protection of flag burning. Banning it would contradict this precedent.,0.709829403
"At the moment, two parties cannot agree enough to achieve anything, it would only get worse if several parties were to agree on anything.",0.712216347
"At the moment, the two-party system is completely destroying our country, and the solution is a multi-party system.",0.241725622
"Customer lists are expensive to purchase and may not be up to date. In addition, these lists often contain the names of people who do not want unsolicited sales calls.",0.03728362
Spending cuts and the condition that everyone gets by on a minimum of consumer goods would stabilise the economy in the midst of the Brexit problem. Let's stop wasting money and channel it into the health service.,0.050286965
"Fathers should be able to stay at home, and if there was a subsidy, they would feel more comfortable being at home with their child.",0.09081903
"Dad will probably want to stay at home, but it might be a better option for women who have a great job rather than forcing them to quit.",0.162384591
Father likely to stay away from career and may find it difficult to return to work,0.140533686
"Fathers are responsible for raising their child, not that they deserve financial help",0.424567142
"Dad came to care for his child in a warm and loving way that only a mother can, which would make it easier for them to do so.",0.019494544
Father can bond better with his child,0.001508974
"Dad can choose to stay at home, but he must bear the consequences of his decision without society as a whole having to pay for his decision.",0.842663261
"Dad can choose to stay at home, but that's the decision they make when they don't want to work.",0.885871094
"Dad doesn't always get the same bonding experience that the mother has, because she can't afford to take time off work to be with her baby and child, so subsidising it would allow for a better family life.",0.944384724
"The father must become more involved in his children's lives, and subsidising them to stay at home will make it easier for them to do so.",0.810991758
"On average, the father earns more than the mother, many families do not have a resident father, and most cannot afford for the father to be at home, while the mother needs time off to recover from giving birth and breastfeeding.",0.006545847
THAT SHOULD BE JUSTICE AS MANY MOTHER IN THE HOUSE WITH YOUR CHILDREN,0.009123184
Fathers should be able to stay at home and look after their child without losing their income.,0.810971042
"Fathers should be encouraged to go to work to support their families, as has always been the case; subsidizing them to stay at home would have the opposite effect and would also be a burden on taxpayers.",0.836052769
Fathers should be subsidized to reduce the stigma of a man staying at home to raise his child. Fathers are important to the fabric of the family and staying at home gives the child a new perspective on it.,0.756797938
Dad should work and mum should stay at home.,6.4e-06
Fathers should not be subsidised to stay at home because that would be too much of a burden on the taxpayer.,0.90035138
Fathers who stay at home are most likely to have a financial burden on their family.,0.002729057
"Choosing to stay at home deprives potential workers of resources, which could damage a country's economy and make the future promising for the younger generation.",0.500331664
Father who stays at home is a precious mother who stays at home and should be subsidised for the welfare of her child,0.785708773
"Fathers who stay at home are a great asset in raising future generations of children, so subsidies should be given to help them continue their family efforts.",0.840697319
Father could tie himself to her baby,0.001096199
"Father, like all parents, does not deserve a subsidy to stay at home. It is their child and they should be financially responsible for their upbringing.",0.095934301
Every day I receive calls that waste my time and interfere with what I do. Calls should be made by me to get information I want. Calls should not interfere with people who do not want the information.,6.46e-05
dangerous criminals who cannot be rehabilitated and who pose a danger to society should be subject to the death penalty.,0.21339555
dangerous weapon in the hands of an ordinary citizen is very dangerous for the safety of others and should be strictly limited and controlled,0.692694104
Death penalty brings family to a standstill and saves taxpayers millions of dollars each year,0.720665628
The death penalty cost the government a life sentence without parole.,0.989605125
"The death penalty is an inhumane, unjust, unnecessary and ineffective measure.",0.997947483
Death with dignity means having the opportunity to determine one's own destiny. You are able to take control of your own destiny. It allows you to leave the world intact with your true self.,0.923904991
"to decide when moor should be a crime, no matter how bad our life is, we should live it and attain happiness",2.74e-06
Emphasizing gender in daily conversation will benefit humanity in the long run.,0.981929178
"In any case, yes, we must open up the space for new ways of thinking and living, which cannot be developed far, but we allow them to communicate in the term that defines them as a group.",0.939521466
The deliberate sale and purchase of sexual services is a completely private matter in which the state should not be involved.,0.919283843
Democracy could never allow a trap,0.000312344
Democratic opinion polls have shown that the majority of people in the world want the abolition of nuclear weapons and should fulfill the wishes of their people by fighting for it.,0.917208194
Pollution in densely populated cities.,0.945991649
Refusing to support another country for political reasons is unfair to ordinary people who have nothing to do with it and need the support.,0.742688101
Refusing to support other countries may be the only way to get them to listen to your side of the argument.,0.06505754
The denial of surrogacy effectively prohibits same-sex couples from having a biological child.,0.800619028
Desecration of the flag should be illegal because it is disrespectful,0.876810903
Desperate people will try to sell their organ without realising they will need it when they get older,0.54604134
"Despite its political conviction, the flag is an important symbol that should definitely be respected.",0.609301309
"Although the medical community wants to ban naturopathy, there is evidence that it does not work at all. How can the use of nature not be an effective treatment? Of course it can.",0.114229213
To destroy a human life in order to potentially improve the life of another is immoral and unethical.,0.507470961
Destroying human embryos for research is unethical and immoral,0.843845712
Destroying the atomic bomb would be detrimental to a nation because it would be susceptible to attack,0.922165824
Prisoners are tortured and ill-treated there.,0.120864052
"Detainees in Guanatanamo Bay were forced to endure cruel and degrading treatments such as waterboarding, sleep deprivation, and other physical abuse.",0.993062982
The detention of terrorists at Guantanamo Bay ensures that they cannot plan future attacks on America.,0.996095639
Detaining terrorists at Guantanamo Bay keeps them off the battlefield.,0.609035242
"The development of an autonomous car is a necessity. It would make road traffic and travel much safer, a car accident would cause an incredible number of deaths. There would no longer be a drunken and distracted car accident.",0.915659338
The development of autonomous cars will be a springboard for the development of new technologies in the future.,0.998824548
The development of autonomous cars will ruin the economy by eliminating millions of transport jobs.,0.857219299
"The development of nuclear weapons creates transmission technology for space flight, industry and chemical development.",0.693470883
The development of weapons of mass destruction diverted resources away from more important ones,0.829503616
"Development and progress are costly and very demanding, and the government could only protect our efforts by maintaining strict intellectual property rights.",0.037922084
The development of autonomous cars should continue so that this technology does not kill people in the future.,0.634292509
Development of autonomous cars facilitates traffic and parking,0.032394651
"The development of autonomous cars should not be stopped because many people (handicapped, children, pregnant women) may find themselves in a situation where they have to travel.",0.381537552
Development of autonomous cars leads to better public transport,0.933613504
Development in science and technology has been achieved through space exploration,0.722126038
"Different people age differently, so if a person is physically and mentally capable of doing a job, the more power they have.",0.517937463
Disabled people can finally become independent and drive their own vehicle,0.482992209
